game,year,month,month_idx,draw_nr,numbers
on-numara,2021,Nisan,4,28,"[1, 4, 5, 11, 15, 21, 23, 25, 28, 32, 34, 52, 53, 57, 62, 63, 64, 65, 69, 71, 73, 80]"
on-numara,2021,Nisan,4,27,"[3, 4, 18, 20, 21, 27, 32, 33, 35, 44, 45, 48, 53, 57, 59, 64, 68, 69, 70, 73, 77, 80]"
on-numara,2021,Mayıs,5,44,"[5, 7, 8, 11, 12, 16, 17, 25, 28, 30, 33, 41, 45, 51, 55, 59, 63, 69, 73, 78, 79, 80]"
on-numara,2021,Mayıs,5,43,"[4, 6, 7, 13, 14, 15, 19, 20, 21, 30, 31, 35, 49, 50, 55, 56, 59, 66, 70, 74, 76, 77]"
on-numara,2021,Mayıs,5,42,"[3, 4, 8, 13, 15, 20, 22, 26, 28, 32, 35, 41, 43, 45, 46, 49, 54, 56, 57, 68, 69, 76]"
on-numara,2021,Mayıs,5,41,"[1, 3, 11, 14, 23, 24, 28, 34, 46, 47, 51, 56, 57, 58, 60, 61, 63, 64, 65, 66, 68, 78]"
on-numara,2021,Mayıs,5,40,"[4, 5, 9, 11, 16, 21, 25, 27, 30, 31, 41, 46, 52, 54, 57, 60, 63, 67, 68, 69, 71, 78]"
on-numara,2021,Mayıs,5,39,"[1, 3, 5, 12, 13, 15, 19, 26, 31, 36, 37, 44, 46, 48, 53, 57, 61, 63, 73, 78, 79, 80]"
on-numara,2021,Mayıs,5,38,"[2, 6, 10, 14, 21, 23, 25, 28, 30, 35, 37, 39, 44, 50, 51, 54, 62, 67, 72, 75, 77, 80]"
on-numara,2021,Mayıs,5,37,"[4, 7, 8, 11, 13, 19, 21, 26, 37, 39, 42, 45, 46, 48, 51, 53, 61, 63, 68, 77, 79, 80]"
on-numara,2021,Mayıs,5,36,"[1, 5, 6, 8, 10, 14, 20, 21, 26, 31, 32, 34, 41, 43, 47, 58, 59, 61, 64, 68, 73, 77]"
on-numara,2021,Haziran,6,52,"[2, 9, 13, 16, 17, 19, 22, 27, 31, 36, 39, 40, 47, 50, 53, 55, 56, 65, 69, 71, 76, 79]"
on-numara,2021,Haziran,6,51,"[1, 5, 7, 9, 10, 11, 15, 19, 22, 24, 25, 27, 36, 39, 45, 51, 53, 58, 66, 70, 74, 77]"
on-numara,2021,Haziran,6,50,"[4, 5, 6, 9, 11, 14, 16, 17, 21, 22, 23, 27, 32, 40, 46, 54, 60, 62, 67, 75, 78, 79]"
on-numara,2021,Haziran,6,49,"[7, 10, 12, 16, 18, 23, 26, 30, 33, 38, 39, 40, 43, 47, 56, 57, 60, 61, 62, 66, 68, 73]"
on-numara,2021,Haziran,6,48,"[2, 4, 9, 15, 17, 21, 22, 25, 28, 29, 30, 31, 34, 36, 38, 39, 42, 45, 52, 58, 67, 75]"
on-numara,2021,Haziran,6,47,"[1, 3, 6, 8, 16, 18, 19, 27, 35, 36, 41, 43, 47, 55, 56, 61, 64, 65, 69, 73, 74, 75]"
on-numara,2021,Haziran,6,46,"[3, 6, 11, 14, 20, 26, 30, 31, 33, 36, 38, 46, 49, 53, 59, 62, 64, 66, 69, 70, 74, 77]"
on-numara,2021,Haziran,6,45,"[2, 4, 5, 11, 15, 19, 25, 29, 32, 33, 40, 47, 50, 53, 56, 58, 62, 65, 67, 70, 77, 78]"
on-numara,2021,Temmuz,7,61,"[6, 9, 13, 21, 28, 29, 32, 34, 37, 41, 44, 45, 48, 49, 51, 55, 56, 57, 58, 69, 73, 75]"
on-numara,2021,Temmuz,7,60,"[11, 16, 17, 23, 25, 27, 30, 31, 37, 38, 50, 51, 52, 57, 60, 63, 68, 70, 71, 72, 76, 80]"
