tconst,titleType,originalTitle,startYear,genres,averageRating,numVotes,m_rating,Streaming
tt0082010,movie,An American Werewolf in London,1981.0,"Comedy,Horror",7.5,127914.0,0.0,Apple TV
tt0082198,movie,Conan the Barbarian,1982.0,"Adventure,Fantasy",6.9,167690.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0082398,movie,For Your Eyes Only,1981.0,"Action,Adventure,Thriller",6.7,111625.0,0.0,"Apple TV,Apple TV"
tt0082406,movie,The Fox and the Hound,1981.0,"Adventure,Animation,Drama",7.2,105965.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0083907,movie,The Evil Dead,1981.0,Horror,7.4,241723.0,0.0,"Netflix,TV+,Apple TV,Apple TV"
tt0083929,movie,Fast Times at Ridgemont High,1982.0,"Comedy,Drama",7.1,120281.0,0.0,"Apple TV,Apple TV"
tt0084516,movie,Poltergeist,1982.0,"Horror,Thriller",7.3,187448.0,0.0,"Apple TV,Apple TV"
tt0084805,movie,Tootsie,1982.0,"Comedy,Drama,Romance",7.4,118327.0,0.0,"Amazon Prime Video,Apple TV,Apple TV"
tt0084827,movie,Tron,1982.0,"Action,Adventure,Sci-Fi",6.7,132934.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0085959,movie,The Meaning of Life,1983.0,"Comedy,Musical",7.5,127484.0,0.0,"Apple TV,Apple TV"
tt0085995,movie,National Lampoon's Vacation,1983.0,"Adventure,Comedy",7.3,124050.0,0.0,"Apple TV,Apple TV"
tt0086034,movie,Octopussy,1983.0,"Action,Adventure,Thriller",6.5,116353.0,0.0,"Apple TV,Apple TV"
tt0086200,movie,Risky Business,1983.0,"Comedy,Crime,Drama",6.8,103868.0,0.0,"Apple TV,Apple TV"
tt0086541,movie,Videodrome,1983.0,"Drama,Horror,Sci-Fi",7.2,108116.0,0.0,"Apple TV,Apple TV"
tt0086567,movie,WarGames,1983.0,"Action,Drama,Sci-Fi",7.1,115928.0,0.0,Amazon Prime Video
tt0087800,movie,A Nightmare on Elm Street,1984.0,Horror,7.4,276495.0,0.0,"Apple TV,Apple TV"
tt0087884,movie,"Paris, Texas",1984.0,Drama,8.1,130471.0,0.0,MUBI
tt0087928,movie,Police Academy,1984.0,Comedy,6.7,143165.0,0.0,"Apple TV,Apple TV"
tt0088128,movie,Sixteen Candles,1984.0,"Comedy,Romance",7.0,131141.0,0.0,"Apple TV,Apple TV"
